date,気温,降水量,風速,現地気圧,相対湿度,蒸気圧,天気,雲量
2020-06-01,19.75555555555556,0.2777777777777778,1.6333333333333335,1010.3444444444444,95.0,21.9,3.6666666666666665,10.0
2020-06-02,23.266666666666666,0.0,2.033333333333333,1004.5111111111112,83.44444444444444,23.61111111111111,2.6666666666666665,10.0
2020-06-03,25.8,0.0,2.3777777777777778,1002.8333333333334,66.22222222222223,21.87777777777778,2.0,9.666666666666666
2020-06-04,24.37777777777778,0.0,3.0444444444444443,1003.2555555555556,74.77777777777777,22.677777777777777,2.6666666666666665,10.0
2020-06-05,27.38888888888889,0.0,2.9222222222222225,1003.0444444444446,63.77777777777778,23.022222222222226,1.3333333333333333,6.666666666666667
2020-06-06,26.744444444444447,0.0,2.388888888888889,1003.7888888888888,67.0,23.433333333333334,2.6666666666666665,10.0
2020-06-07,23.9,0.0,3.066666666666667,1006.6,55.44444444444444,16.277777777777782,1.3333333333333333,5.0
2020-06-08,24.35555555555556,0.0,2.5,1013.8777777777776,67.11111111111111,20.366666666666667,1.6666666666666667,5.0
2020-06-09,28.25555555555556,0.0,3.288888888888889,1015.5888888888888,58.77777777777778,22.25555555555556,2.0,10.0
2020-06-10,29.2,0.0,5.522222222222222,1012.5333333333332,51.55555555555556,20.755555555555556,0.3333333333333333,1.0
2020-06-11,27.31111111111111,0.0555555555555555,7.677777777777777,1004.1333333333332,75.0,27.1,3.333333333333333,10.0
2020-06-12,28.288888888888888,0.0,2.444444444444444,1001.3,74.11111111111111,28.34444444444445,2.333333333333333,8.666666666666666
2020-06-13,21.51111111111111,3.1666666666666665,3.033333333333333,1004.2555555555556,98.88888888888889,25.43333333333333,4.0,10.0
2020-06-14,21.766666666666666,0.2777777777777778,1.2999999999999998,1004.2111111111112,97.33333333333331,25.377777777777776,3.333333333333333,10.0
2020-06-15,28.58888888888889,0.0,2.5444444444444443,998.1777777777778,69.77777777777777,26.688888888888886,2.333333333333333,10.0
2020-06-16,27.700000000000003,0.0,3.0,997.8111111111112,60.44444444444444,22.31111111111111,1.6666666666666667,7.0
2020-06-17,26.011111111111116,0.0,3.3000000000000003,1003.5444444444444,49.888888888888886,16.799999999999997,1.0,4.666666666666667
